event_id,payment_id,merchant_id,order_id,amount,currency,instrument_type,error_code,attempt_number,time_since_last_attempt_min,customer_id,customer_past_successful_payments,timestamp,true_root_cause,true_recoverable
2ff01d22-6e03-4fb4-a81e-98febd93fcf6,pay_49154a6c2d4d4e,merchant_4,order_0f50249337ce42,294.74,INR,card,GATEWAY_ERROR:issuer_timeout,1,,cust_259,0,2026-08-15T17:37:19.737406,customer_abandoned,True
27de5f6e-e7b9-4a1d-a57a-d579aae468c6,pay_d8b8742c5cf146,merchant_3,order_6f9b920b66b246,2084.48,INR,card,GATEWAY_ERROR:funds_insufficient,1,,cust_111,8,2026-08-21T18:34:19.737406,insufficient_funds,True
ccf0fd85-e2b8-454f-9763-f7a8b5d9daca,pay_2850279e4e914f,merchant_6,order_ae9387bca6cf4d,1486.49,INR,upi,GATEWAY_ERROR:funds_insufficient,2,181.9,cust_296,11,2026-08-25T01:23:19.737406,insufficient_funds,True
210055dc-6404-4582-b1d5-bf3af28efd18,pay_24252a7b6c2343,merchant_3,order_70f2b115898a4a,1725.1,INR,emandate,MANDATE_ERROR:emandate_failed,2,232.4,cust_190,14,2026-08-21T08:22:19.737406,mandate_failed,True
c56c7b7e-d14e-4d35-ac47-1134c9181b68,pay_bb9a8ebefbf345,merchant_6,order_07160fea32db45,6932.92,INR,card,BAD_REQUEST_ERROR:insufficient_funds,2,53.0,cust_432,10,2026-08-28T03:51:19.737406,insufficient_funds,True
9ed38d69-907f-4b44-9fd1-87e016b28553,pay_f7390f8311b442,merchant_8,order_df815ad5e4324f,1834.96,INR,card,NETWORK_ERROR:bank_unreachable,1,,cust_74,0,2026-08-23T09:44:19.737406,bank_side_transient,True
5f13b803-d7ad-44ad-8a4c-a2e8b4d43a60,pay_5acf49f8d22d43,merchant_2,order_85c39483b4804a,787.79,INR,netbanking,GATEWAY_ERROR:funds_insufficient,2,129.7,cust_79,8,2026-08-25T19:01:19.737406,insufficient_funds,True
3175f58c-1713-4c98-880a-62795bd02417,pay_93e36b96ce8f46,merchant_2,order_6dfb38b524364a,50959.68,INR,upi,SERVER_ERROR:internal,1,,cust_350,8,2026-08-17T05:08:19.737406,gateway_issue,True
7f4ddc2f-99a1-4e62-9650-753dcc88f198,pay_30e91d738b404d,merchant_3,order_078f2a311d3c47,962.08,INR,emandate,SUBSCRIPTION_ERROR:charge_failed,1,,cust_260,5,2026-08-27T00:17:19.737406,mandate_failed,True
0857b668-8bc5-4958-b4de-3a4a094cd932,pay_7de9def6ae884a,merchant_1,order_584be133a3cf4b,1124.82,INR,card,SERVER_ERROR:internal,1,,cust_58,11,2026-08-21T04:09:19.737406,gateway_issue,True
c66b8572-fd7c-4ea0-a630-4fbb11e03915,pay_dc38be4b281148,merchant_3,order_c29fc77254cf47,3023.84,INR,netbanking,GATEWAY_ERROR:processing_error,1,,cust_66,2,2026-08-18T14:49:19.737406,gateway_issue,True
8e205bbd-4361-45d5-83d6-185acb3de0cb,pay_ceb8abf07e9a43,merchant_8,order_dfaecfa2d8df4f,11268.34,INR,card,FRAUD_ERROR:velocity_check_failed,2,278.8,cust_62,1,2026-08-23T19:00:19.737406,fraud_suspected,False
e7296437-2469-4e24-bea7-3b1db26e6a89,pay_284f012bb53641,merchant_4,order_3eb68db6dadb4d,1444.9,INR,card,GATEWAY_ERROR:npci_timeout,2,177.4,cust_143,0,2026-08-18T09:17:19.737406,bank_side_transient,True
6e2a8786-ee8c-4064-a2f5-f7cd5da0a82b,pay_872b6d62834743,merchant_1,order_720913fc02c64e,873.41,INR,card,GATEWAY_ERROR:funds_insufficient,1,,cust_345,6,2026-08-27T04:39:19.737406,insufficient_funds,True
9c3ac3a1-76d4-49a3-bf21-c55c1e81ccc2,pay_9c7b9b889c7f49,merchant_8,order_89cfc2d67ff448,952.37,INR,netbanking,BAD_REQUEST_ERROR:insufficient_funds,1,,cust_414,1,2026-08-16T21:50:19.737406,insufficient_funds,True
1001d543-0e15-4503-ad7a-7b40bcc50485,pay_4bc2dfe104ab4b,merchant_7,order_530ef322b98a4a,415.99,INR,upi,FRAUD_ERROR:risk_score_high,3,278.1,cust_136,12,2026-08-19T01:54:19.737406,insufficient_funds,True
1222ad2d-d0e0-4c7e-9d11-1ce45557f60a,pay_8f4681f261b74d,merchant_6,order_a2329731e8d34e,394.11,INR,upi,GATEWAY_ERROR:npci_timeout,3,167.6,cust_30,10,2026-08-28T07:00:19.737406,bank_side_transient,True
f2d27e90-1589-4ec4-b5a6-2ed8b19922f5,pay_fd2ae0900dd844,merchant_4,order_36060afb326f43,2890.78,INR,emandate,ORDER_EXPIRED:no_attempt,1,,cust_297,6,2026-08-15T21:42:19.737406,customer_abandoned,True
aaf113cc-8ed7-46fd-a05f-2dcc309f7dc0,pay_08315c8d6a6845,merchant_2,order_d16ef2051c4a44,553.5,INR,card,GATEWAY_ERROR:funds_insufficient,3,62.9,cust_5,10,2026-08-19T00:06:19.737406,insufficient_funds,True
8ef4b1d4-daac-4e99-bd96-792dd953bb8c,pay_4e06c30c8ab24b,merchant_3,order_ea991b12af524e,14132.37,INR,emandate,ORDER_EXPIRED:no_attempt,1,,cust_225,2,2026-08-17T01:43:19.738411,customer_abandoned,True
5a6b7dae-491d-4a34-a734-2a8053606e22,pay_ad19206eb4c540,merchant_3,order_8e4d24e2f5e24c,13415.65,INR,emandate,MANDATE_ERROR:emandate_failed,2,167.3,cust_140,13,2026-08-23T00:31:19.738411,mandate_failed,True
1ae9112b-cdf1-46b1-a473-0b2d034f1def,pay_4bc462cc77c141,merchant_1,order_f656307b52424e,13806.07,INR,netbanking,ORDER_EXPIRED:no_attempt,2,256.2,cust_2,6,2026-08-21T20:14:19.738411,customer_abandoned,True
e1c7e17f-409e-4f9d-8477-69549a9dbc55,pay_5a3d06dcc8664b,merchant_3,order_df75c8b690b044,22271.8,INR,emandate,SUBSCRIPTION_ERROR:charge_failed,1,,cust_280,5,2026-08-28T14:43:19.738411,mandate_failed,True
e02b0b64-b9c5-402c-849b-288521fe2ec6,pay_77692af5f64b43,merchant_4,order_2dc964f0071b43,792.84,INR,upi,SERVER_ERROR:internal,1,,cust_342,0,2026-08-27T02:15:19.738411,gateway_issue,True
c2c07166-8a82-4251-9a9f-456ac0562ad5,pay_bfceb204e48246,merchant_3,order_c2ac6377c64a40,549.8,INR,upi,NETWORK_ERROR:bank_unreachable,3,225.3,cust_378,13,2026-08-21T20:58:19.738411,bank_side_transient,True
cc911eea-5b21-4cef-a65a-a5cf4f1ba168,pay_3796ee9b348148,merchant_8,order_2bbb1946035a48,305.38,INR,upi,SERVER_ERROR:internal,1,,cust_180,11,2026-08-22T11:43:19.738411,gateway_issue,True
0c85981e-6518-46ae-a99c-413f738ae794,pay_df93030bfbf247,merchant_7,order_79e78521845549,723.7,INR,wallet,SERVER_ERROR:internal,1,,cust_348,1,2026-08-17T05:33:19.738411,gateway_issue,True
71dd6778-dead-49aa-ba4c-5f8a99b00915,pay_f459ac55d17742,merchant_2,order_9a4f52e954ab4d,3409.23,INR,card,NETWORK_ERROR:bank_unreachable,1,,cust_198,14,2026-08-16T07:30:19.738411,bank_side_transient,True
8642774c-d1f8-4876-8413-92fa11695d7b,pay_36e0e3fe8cfe4d,merchant_2,order_4f43d983567d44,11352.59,INR,card,GATEWAY_ERROR:funds_insufficient,1,,cust_486,13,2026-08-21T22:04:19.738411,insufficient_funds,True
a26d2eb1-b9db-4efd-88e5-840f68aeabbf,pay_330b08af44bf4d,merchant_7,order_32e03ee1536043,719.75,INR,card,PAYMENT_CANCELLED:user_exit,1,,cust_347,9,2026-08-25T11:21:19.738411,customer_abandoned,True
44d31527-b20e-4c0c-8da3-934cda8e11b1,pay_9d2cfe76e15049,merchant_8,order_c4280f0306c741,7588.55,INR,netbanking,PAYMENT_CANCELLED:user_exit,1,,cust_346,0,2026-08-24T13:41:19.738411,customer_abandoned,True
8220e094-1711-49d2-9397-ea90a30a205e,pay_43efe927fded4c,merchant_4,order_7ad4d652711c43,1276.6,INR,card,BAD_REQUEST_ERROR:card_expired,2,86.6,cust_76,9,2026-08-28T21:03:19.738411,card_expired,True
f21872f1-6ad4-462a-8f96-3210c7faa871,pay_00bf03f4c58048,merchant_1,order_79efd7b582304f,1193.77,INR,emandate,BAD_REQUEST_ERROR:insufficient_funds,1,,cust_458,13,2026-08-27T00:11:19.738846,insufficient_funds,True
1743dd67-33e7-463f-9478-dc6dd167915e,pay_f249a7de4a1044,merchant_8,order_a1ff9d5c4a924b,2652.84,INR,emandate,MANDATE_ERROR:emandate_failed,1,,cust_342,14,2026-08-17T08:19:19.738846,mandate_failed,True
0213f5f4-a3b1-4133-a67b-976511f9d9a0,pay_8d923a5c6f074b,merchant_8,order_daae258789c44b,910.81,INR,upi,USER_ERROR:explicit_decline,4,244.9,cust_133,13,2026-08-23T19:22:19.738846,unrecoverable,False
aa5e8480-aaa0-43be-80bd-6697bcdc699f,pay_d64d1da452764e,merchant_4,order_7c0aad77e28343,642.88,INR,card,GATEWAY_ERROR:processing_error,2,83.8,cust_197,0,2026-08-25T22:56:19.738846,gateway_issue,True
db773f7c-6408-4e64-94e4-1247a4332121,pay_fbc094fce29b4e,merchant_1,order_9fdd9cc124e74c,985.26,INR,emandate,MANDATE_ERROR:emandate_failed,1,,cust_439,3,2026-08-16T07:59:19.738846,mandate_failed,True
4496099f-4759-4348-97b2-b8c0c69e8b51,pay_9cf9dc12c0574c,merchant_4,order_09f5183d5a3843,12864.47,INR,card,NETWORK_ERROR:bank_unreachable,1,,cust_250,4,2026-08-24T10:33:19.738846,bank_side_transient,True
